,critic,fresh,imdb,publication,quote,review_date,rtid,title,date,year,test
10355,Owen Gleiberman,True,103873,Entertainment Weekly,"Horror films used to be primordial spook shows, tapping midnight-dark fears. Now they tap bodily goo: rivers of blood, dripping limbs, eyeballs that go pop in the night.",1993-02-12,17021,Braindead,1993-02-12,1993,False
25115,Owen Gleiberman,False,106856,Entertainment Weekly,"Falling Down is a brutally manipulative revenge fantasy, a piece of comic-strip demagoguery that teeters uneasily on the brink of satire.",1993-02-26,13534,Falling Down,1993-02-26,1993,False
5328,Owen Gleiberman,False,108071,Entertainment Weekly,"The movie is earnest, heartfelt, and, for all its lavishness, rather plodding.",1993-03-18,9432,The Secret Garden,1993-03-18,1993,False
4811,Owen Gleiberman,True,107206,Entertainment Weekly,"Though the movie is engrossing, it lacks something: fire, weirdness, originality.",1993-07-09,16314,In the Line of Fire,1993-07-09,1993,False
4499,Owen Gleiberman,True,106677,Entertainment Weekly,"Once every decade or so, a movie captures the hormone-drenched, fashion- crazed, pop-song-driven rituals of American youth culture with such loving authenticity that it comes to seem a kind of anthem.",1993-09-10,13761,Dazed and Confused,1993-09-10,1993,False
5513,Owen Gleiberman,False,108358,Entertainment Weekly,Plays like a three-hour rough cut that's been trimmed down to a slightly shorter rough cut.,1993-12-25,12948,Tombstone,1993-12-25,1993,False
3307,Lisa Schwarzbaum,True,111507,Entertainment Weekly,"There's something earthy and elemental in this tale that was missing in Blue, something quirky and (measured by Kieslowskian standards) energetic. But there's also something damp and brown, like the sodden Polish countryside he pictures.",1994-02-18,770804687,Trzy kolory: Bialy,1994-02-18,1994,False
3962,Owen Gleiberman,True,111257,Entertainment Weekly,"The film takes off from formula elements, but it manipulates those elements so skillfully, with such a canny mixture of delirium and restraint, that I walked out of the picture with the rare sensation that every gaudy thrill had been earned.",1994-06-10,14748,Speed,1994-06-10,1994,False
4682,Lisa Schwarzbaum,False,109891,Entertainment Weekly,It probably sounded terrific in the pitch meeting.,1994-06-17,12618,Getting Even with Dad,1994-06-17,1994,False
3752,Owen Gleiberman,False,109830,Entertainment Weekly,Reduces the tumult of the last few decades to a virtual-reality theme park: a baby-boomer version of Disney's America.,1994-07-06,10036,Forrest Gump,1994-07-06,1994,False
3994,Owen Gleiberman,True,111503,Entertainment Weekly,"The fun of an elaborately scaled comic suspense thriller is that, no matter how spectacular the stunts are, the hero always seems to be operating out of the purest pragmatism.",1994-07-15,16394,True Lies,1994-07-15,1994,False
5087,Owen Gleiberman,False,110687,Entertainment Weekly,It's depressing enough to see a director turn into a button pusher. But what can you say about a director who just keeps hitting the same button?,1994-07-22,152392086,North,1994-07-22,1994,False
4917,Lisa Schwarzbaum,True,110305,Entertainment Weekly,"A remarkably clean, bracing production that does a difficult thing exceptionally well, depicting believably modern young people in a believably old-fashioned plot.",1994-07-22,11992,Lassie,1994-07-22,1994,False
2995,Lisa Schwarzbaum,False,110516,Entertainment Weekly,Smuttiness is made coy; innocence is made dirty; boyhood sexuality is made into a cartoon.,1994-08-30,11257,Milk Money,1994-08-30,1994,False
3387,Owen Gleiberman,True,111161,Entertainment Weekly,"With his gift for rapt pauses, for caressing just the right syllable, Freeman can make a speech like that sound like one of the philosophical nuggets of the ages.",1994-09-10,12989,The Shawshank Redemption,1994-09-10,1994,False
20345,Owen Gleiberman,False,110978,Entertainment Weekly,Renee Zellweger and Matthew McConaughey try to out-bad-act each other in the luridly abysmal third sequel to The Texas Chainsaw Massacre.,1994-10-07,14756,The Return of the Texas Chainsaw Massacre,1994-10-07,1994,False
3725,Owen Gleiberman,False,109450,Entertainment Weekly,"Cobb turns into a noisy, cantankerous buddy picture.",1994-12-02,13673,Cobb,1994-12-02,1994,False
3431,,True,114594,Entertainment Weekly,"When Spacey goes ballistic, only to freeze the nitroglycerine in his veins a moment later, you don't want to look anywhere else.",1995-03-21,15161,Swimming with Sharks,1995-03-21,1995,False
1595,Owen Gleiberman,False,112442,Entertainment Weekly,"Of course, the Simpson-Bruckheimer approach may still work at the box office (the only place it ever really mattered, anyway). By now, though, I'd like to think most moviegoers have had a permanent overdose.",1995-05-19,16193,Bad Boys,1995-05-19,1995,False
1277,Owen Gleiberman,True,112573,Entertainment Weekly,It takes a real star to make suffering this sexy.,1995-05-26,12866,Braveheart,1995-05-26,1995,False
2083,Owen Gleiberman,True,113957,Entertainment Weekly,"As an actress, Bullock has it all -- heart and soul, and mind, too.",1995-07-28,12771,The Net,1995-07-28,1995,False
2864,Lisa Schwarzbaum,True,113670,Entertainment Weekly,There are moments in A Little Princess when you may just want to clap from pleasure.,1995-08-04,18116,A Little Princess,1995-08-04,1995,False
2274,Owen Gleiberman,False,114682,Entertainment Weekly,"Slick and amiable and innocuous as hell, it's a foam-padded farce, as laboriously packaged as its three glam-sister ''heroines.''",1995-09-08,10361,"To Wong Foo Thanks for Everything, Julie Newmar",1995-09-08,1995,False
1872,Steve Daly,False,112887,Entertainment Weekly,Good luck searching for meaning -- you'll find mostly blood and epithets.,1995-10-25,17217,The Doom Generation,1995-10-25,1995,False
148,Owen Gleiberman,True,112346,Entertainment Weekly,"The image of a chief executive as moonstruck single guy taps something buoyant and touching in our collective democratic imagination. And Douglas, wearing a fast-break smile in place of his usual frown, strikes a tender rapport with Bening...",1995-11-17,10129,The American President,1995-11-17,1995,False
274,Ken Tucker,False,113845,Entertainment Weekly,"A big, noisy headache of a movie...",1995-11-22,14560,Money Train,1995-11-22,1995,False
19,Roger Moore,True,114709,Orlando Sentinel,"The great voice acting, the visual puns, all added up to an animation game changer.",1995-11-22,9559,Toy story,1995-11-22,1995,False
18,,True,114709,Entertainment Weekly,"I can hardly imagine having more fun at the movies than I did at Toy Story, the miraculous new Disney feature that's the first full-length animated film to be produced entirely on computer.",1995-11-22,9559,Toy story,1995-11-22,1995,False
89,Owen Gleiberman,True,113277,Entertainment Weekly,Heat is an ''epic'' that feels like a stunt.,1995-12-15,13098,Heat,1995-12-15,1995,False
1004,,True,118158,Entertainment Weekly,"This rousing salute to the power of the elements, the lost innocence of the Kennedy era, and the goodness of young men when they are allowed to ripen with their shirts off is, above all, a tone poem.",1996-02-02,10752,White Squall,1996-02-02,1996,False
1098,Lisa Schwarzbaum,False,115639,Entertainment Weekly,"There is absolutely nothing going on in Beautiful Girls that you haven't seen... [in] any other artistic endeavor in which untethered young men and women, bound by geography and fortified by beer, shamble their way toward overdue maturity.",1996-02-09,13143,Beautiful Girls,1996-02-09,1996,False
1198,,False,117102,Entertainment Weekly,"Pullman, who can usually shade a character so subtly between sweetie and sucker, is made to veer manically into jerkhood for no particular reason except that the filmmakers couldn't come up with anything smarter to propel this galumphing caper along.",1996-02-16,11643,Mr. Wrong,1996-02-16,1996,False
1568,Owen Gleiberman,True,115685,Entertainment Weekly,The beauty of The Birdcage is that its jokes and its message are one and the same. These characters couldn't change themselves if they tried. And only a fool would want them to.,1996-03-06,12915,The Birdcage,1996-03-06,1996,False
6834,Lisa Schwarzbaum,False,115571,Entertainment Weekly,[Sheen] spends most of the movie in a kind of sweaty apoplexy that makes one worry for his health.,1996-05-31,12510,The Arrival,1996-05-31,1996,False
6755,Owen Gleiberman,True,117500,Entertainment Weekly,"Even in a movie that's all noise and bluster, Cage and Connery inject tasty bits of personality into their roles.",1996-06-07,12970,The Rock,1996-06-07,1996,False
7132,Ken Tucker,True,116365,Entertainment Weekly,The Frighteners is ... that rare horror film that actually gets better as it proceeds; this scare machine has a heart and a brain.,1996-07-19,14032,The Frighteners,1996-07-19,1996,False
6430,Bruce Fretts,False,117688,Entertainment Weekly,Soloflex might be a better title.,1996-08-23,12544,Solo,1996-08-23,1996,False
8963,Ken Tucker,False,116908,Entertainment Weekly,Harlin and Davis don't seem to realize that the results aren't refreshingly revisionist - they're eye-avertingly embarrassing.,1996-10-11,13322,The Long Kiss Goodnight,1996-10-11,1996,False
9858,Owen Gleiberman,True,116209,Entertainment Weekly,"An elegant, accomplished piece of high modernist filmmaking.",1996-11-15,14840,The English Patient,1996-11-15,1996,False
9062,Lisa Schwarzbaum,True,116242,Entertainment Weekly,"Styled as a romantic confection, Everyone Says I Love You is, in fact, steeped in an unacknowledged middle-aged sadness that leaks from the writer-director and saps the energies of his cast.",1996-12-06,151436302,Everyone Says I Love You,1996-12-06,1996,False
11533,Owen Gleiberman,True,117571,Entertainment Weekly,"Poised on the knife edge between parody and homage, Wes Craven's Scream is a deft, funny, shrewdly unsettling tribute to such slasher-exploitation thrillers as Terror Train, New Year's Evil, and Craven's own A Nightmare on Elm Street.",1996-12-20,17135,Scream,1996-12-20,1996,False
12761,,True,115744,Entertainment Weekly,"The cast is ardent as all get-out, but the most authentic emotional lift comes from the real-life Grimethorpe Colliery Brass Band, blowing their hearts out.",1997-05-23,13333,Brassed Off,1997-05-23,1997,False
6980,Bruce Fretts,False,118523,Entertainment Weekly,The studio left this alleged romantic comedy sitting on the shelf for a year -- and it didn't improve with age.,1997-05-30,12284,'Til There Was You,1997-05-30,1997,False
14983,Owen Gleiberman,True,120888,Entertainment Weekly,"In essence, The Wedding Singer is a K-Tel hits package posing as a movie.",1997-06-01,10214,The Wedding Singer,1997-06-01,1997,False
12878,,True,114134,Entertainment Weekly,"I can't say that I've ever entertained fantasies of writing on someone's body. But Peter Greenaway's The Pillow Book does, at least, succeed in making it look like an erotic activity.",1997-06-06,18494,The Pillow Book,1997-06-06,1997,False
12935,Owen Gleiberman,True,119282,Entertainment Weekly,A Disney fable savvy enough not to let its sincerity get in the way of its zippy multimedia charm.,1997-06-15,9754,Hercules,1997-06-15,1997,False
13711,,False,119280,Entertainment Weekly,"Even as the film teases us with the underlying ''sensuality'' of the relationship, it fails to portray it as a convincing human bond. Mrs. Brown is stately yet depressed, like Victoria.",1997-07-18,10621,Mrs Brown,1997-07-18,1997,False
13568,Owen Gleiberman,True,119174,Entertainment Weekly,"The Game is an intensely exciting puzzle-gimmick thriller, the kind of movie that lets you know from the start that it's slyly aware of its own absurdity (which is why it can then get away with it).",1997-09-12,15651,The Game,1997-09-12,1997,False
13440,Lisa Schwarzbaum,True,119360,Entertainment Weekly,"A truly funny, sophisticated, compassionate, mainstream Hollywood comedy about very modern homosexuality.",1997-09-19,10460,In & Out,1997-09-19,1997,False
14443,,True,119217,Entertainment Weekly,"Good Will Hunting is stuffed -- indeed, overstuffed -- with heart, soul, audacity, and blarney. You may not believe a minute of it, but you don't necessarily want to stop watching.",1997-12-05,12887,Good Will Hunting,1997-12-05,1997,False
15656,Owen Gleiberman,True,138563,Entertainment Weekly,Lurid and freakishly arresting.,1998-02-27,13804,Kurt & Courtney,1998-02-27,1998,False
14705,Owen Gleiberman,True,118715,Entertainment Weekly,"Nearly everything in The Big Lebowski is a put-on, and all that leaves you with is the Coens' bizarrely over-deliberate, almost Teutonic form of rib nudging.",1998-03-06,14281,The Big Lebowski,1998-03-06,1998,False
16181,Owen Gleiberman,True,120762,Entertainment Weekly,Mulan is artful and satisfying in a slightly remote way.,1998-06-19,9714,Mulan,1998-06-19,1998,False
8700,Lisa Schwarzbaum,True,120783,Entertainment Weekly,"Responsibility for making this Trap tender rests heaviest on the bird-size shoulders of auburn-haired, freckle-faced Lohan, now 11, who won the unenviable job of making us forget about Hayley Mills -- at least temporarily.",1998-07-29,12593,The Parent Trap,1998-07-29,1998,False
23839,Lisa Schwarzbaum,False,126916,Entertainment Weekly,"Depressingly, for a plot propelled by a love story, For Love of the Game sure strikes out when it comes to Billy and Jane's romance.",1999-09-17,10522,For Love of the Game,1999-09-17,1999,False
13219,Desson Thomson,True,119361,Washington Post,"This is a fully realized movie, whose intelligence -- despite its grim findings -- dwarfs any Hollywood production. It's a film to admire -- even if it leaves you cold.",2000-01-01,14703,In the Company of Men,2000-01-01,2000,False
13136,James Berardinelli,False,119190,ReelViews,"The comedy in George of the Jungle is not sophisticated, but it is frequently audacious and irreverent.",2000-01-01,10567,George of the Jungle,2000-01-01,2000,False
13135,Lawrence Van Gelder,True,119190,New York Times,"George of the Jungle may be unsophisticated, but it is enjoyable.",2000-01-01,10567,George of the Jungle,2000-01-01,2000,False
13139,Louis B. Parks,True,119190,Houston Chronicle,"What really makes this work is Fraser, who plays it to the hilt.",2000-01-01,10567,George of the Jungle,2000-01-01,2000,False
13140,Mike Clark,False,119190,USA Today,"A few hip smarts get displayed here and there in this de facto, broadly comic Tarzan picture, which only reinforces the flailing feel that pervades a 92-minute running time.",2000-01-01,10567,George of the Jungle,2000-01-01,2000,False
13126,James Berardinelli,True,82198,ReelViews,"Even 17 years after its release, Conan the Barbarian still weaves a spell capable of ensorcelling fans of fantasy adventure.",2000-01-01,16016,Conan the Barbarian,2000-01-01,2000,False
13218,Jonathan Rosenbaum,True,119361,Chicago Reader,"The strength of LaBute's conception every step of the way is in forcing the issue of where we belong in this picture -- with Chad, with Howard, or with Christine.",2000-01-01,14703,In the Company of Men,2000-01-01,2000,False
13217,James Berardinelli,True,119361,ReelViews,"One of those rarest of rare breeds -- a movie that doesn't just ignore Hollywood conventions, but openly flouts them.",2000-01-01,14703,In the Company of Men,2000-01-01,2000,False
13141,Roger Ebert,True,119190,Chicago Sun-Times,"The movie would meander along, not going anywhere, and then -- pow! -- there'd be an enormous laugh. More meandering, and then pow! again.",2000-01-01,10567,George of the Jungle,2000-01-01,2000,False
13117,Susan Wloszczyna,False,119173,USA Today,It ends up being an unfulfilling exercise in pseudo-feminism.,2000-01-01,13393,G.I. Jane,2000-01-01,2000,False
13138,Jonathan Rosenbaum,True,119190,Chicago Reader,"An amiable, highly ingratiating piece of lowbrow entertainment, and the audience of mainly young children and parents I saw it with on Saturday night clearly had a ball. So did I.",2000-01-01,10567,George of the Jungle,2000-01-01,2000,False
13137,Rita Kempley,True,119190,Washington Post,"Part screwball romance, part special-effects adventure.",2000-01-01,10567,George of the Jungle,2000-01-01,2000,False
13199,Susan Wloszczyna,True,119896,USA Today,"Insubstantial and oversweet, it still refreshes as a midsummer brain cooler.",2000-01-01,11552,Picture Perfect,2000-01-01,2000,False
13216,Mike Clark,True,119361,USA Today,"A provocative dissection of human dynamics, Men might just become the gotta-see-it August choice of adventurous filmgoers.",2000-01-01,14703,In the Company of Men,2000-01-01,2000,False
13182,James Berardinelli,False,120177,ReelViews,"As a comic book, Spawn may be first rate, but, as a movie, it's a retread.",2000-01-01,13886,Spawn,2000-01-01,2000,False
13200,Ruthe Stein,False,119896,San Francisco Chronicle,Aniston comes across like an imitation of a movie star instead of the real thing. She gets less attractive as the film goes on.,2000-01-01,11552,Picture Perfect,2000-01-01,2000,False
13181,Mick LaSalle,False,120177,San Francisco Chronicle,"... a nonstop bombardment that recalls Judge Dredd, but with better diction.",2000-01-01,13886,Spawn,2000-01-01,2000,False
13180,Andy Seiler,False,120177,USA Today,"There's no suspense, no emotional involvement with the characters, and the cynical, sophomoric storytelling is confusing.",2000-01-01,13886,Spawn,2000-01-01,2000,False
13179,Stephen Holden,False,120177,New York Times,"... an incoherent blitz of noise, chintzy special effects and bargain-basement allegory.",2000-01-01,13886,Spawn,2000-01-01,2000,False
13201,Roger Ebert,False,119896,Chicago Sun-Times,"It's a shame the plot is so contrived, because parts of this movie are really pretty good.",2000-01-01,11552,Picture Perfect,2000-01-01,2000,False
13178,Roger Ebert,True,120177,Chicago Sun-Times,"As a visual experience, Spawn is unforgettable.",2000-01-01,13886,Spawn,2000-01-01,2000,False
13161,Rita Kempley,False,118887,Washington Post,"Written and directed by James Mangold, the drama is dense but misses the moral complexities and grit, not to mention the oomph, of its urban predecessors.",2000-01-01,16382,Cop Land,2000-01-01,2000,False
13160,Stephanie Zacharek,False,118887,Salon.com,"Oh, the tyranny of being serious about your art: It's a shame when an actor like Sylvester Stallone, who's always at his most appealing when he just hunkers down and lets himself be a big galoot, feels he has to make a bid for respectability.",2000-01-01,16382,Cop Land,2000-01-01,2000,False
24445,Roger Ebert,True,33804,Chicago Sun-Times,"A movie like The Lady Eve is so hard to make that you can't make it at all unless you find a way to make it seem effortless. Preston Sturges does a kind of breathless balancing act here, involving romance, deception and physical comedy.",2000-01-01,17251,The Lady Eve,2000-01-01,2000,False
13159,Janet Maslin,True,118887,New York Times,"Whatever its limitations, Cop Land has talent to burn.",2000-01-01,16382,Cop Land,2000-01-01,2000,False
13202,Charles Taylor,False,119896,Salon.com,"What Picture Perfect sells as romance is a junior high school health class morality lecture we all got years ago. And it was a crock then, too.",2000-01-01,11552,Picture Perfect,2000-01-01,2000,False
13157,,True,118887,USA Today,The film is probably best taken as an ultimately slight but still compelling Eastern that plays like a vintage Western about personal redemption.,2000-01-01,16382,Cop Land,2000-01-01,2000,False
13155,James Berardinelli,True,118887,ReelViews,"A compelling, if imperfect, motion picture.",2000-01-01,16382,Cop Land,2000-01-01,2000,False
13204,James Berardinelli,False,119896,ReelViews,There are times when a bad ending doesn't seriously damage a motion picture. This is not one of those.,2000-01-01,11552,Picture Perfect,2000-01-01,2000,False
13154,Mick LaSalle,True,118887,San Francisco Chronicle,"Though at first Cop Land seems as if it will be an ensemble piece, it is, in fact, Stallone's movie.",2000-01-01,16382,Cop Land,2000-01-01,2000,False
13213,Charles Taylor,False,119361,Salon.com,"In the Company of Men is a singularly unpleasant movie. And from the point that Chad and Howard settle on Christine, it's an increasingly unbelievable one, too.",2000-01-01,14703,In the Company of Men,2000-01-01,2000,False
13191,Mike Clark,False,118570,USA Today,Dull but harmless.,2000-01-01,11069,Air Bud,2000-01-01,2000,False
13214,Roger Ebert,True,119361,Chicago Sun-Times,"The kind of bold, uncompromising film that insists on being thought about afterward -- talked about, argued about, hated if necessary, but not ignored.",2000-01-01,14703,In the Company of Men,2000-01-01,2000,False
13215,Janet Maslin,True,119361,New York Times,"LaBute directs this low-budget film with such spareness and precision, using such minimal yet effective backdrops, that in retrospect his color film almost seems to have been in black and white. Its ideas are that stark.",2000-01-01,14703,In the Company of Men,2000-01-01,2000,False
13158,Roger Ebert,False,118887,Chicago Sun-Times,"A movie with such a promising concept, so poorly executed, that it begs to be remade.",2000-01-01,16382,Cop Land,2000-01-01,2000,False
11675,Mike Clark,False,117364,USA Today,"Intelligent but exasperating, its monotonous tone will wear down even viewers who started out in its corner.",2000-01-01,12501,The Portrait of a Lady,2000-01-01,2000,False
13037,Jeff Millar,True,119654,Houston Chronicle,"It's smart, it looks sensational and it's funny -- sneaky-funny.",2000-01-01,12656,Men in Black,2000-01-01,2000,False
